experiment,repeat,training_objective,D,gamma,N,alpha,M_train,num_steps,fast_debug,final_run,macbook_30min_run,run_mode,t_val,train_loss_t,train_acc_t,test_loss_t,test_acc_t
A+B+C,0,repo_uniform_t,80,2.0,160,50.0,4000,3000,False,True,False,full_final,0.7,0.5985486268234254,0.676277510614395,0.6091468179225922,0.6674316871166229
A+B+C,0,repo_uniform_t,80,2.0,160,50.0,4000,3000,False,True,False,full_final,0.9,0.6607360024833678,0.602830918521881,0.664498450756073,0.5978579223155975
A,0,repo_uniform_t,80,2.0,160,100.0,8000,3000,False,True,False,full_final,0.1,0.43287466487884524,0.7926164234256745,0.44750514030456545,0.784413880109787
A,0,repo_uniform_t,80,2.0,160,100.0,8000,3000,False,True,False,full_final,0.3,0.4852376826572418,0.7606675051307678,0.4977192121744156,0.7527091240882874
A,0,repo_uniform_t,80,2.0,160,100.0,8000,3000,False,True,False,full_final,0.5,0.5407641467380523,0.722821685333252,0.5495773839950562,0.7165631079673767
A,0,repo_uniform_t,80,2.0,160,100.0,8000,3000,False,True,False,full_final,0.7,0.5987827333259582,0.6752011813163759,0.6039287173748016,0.6705040037631989
A,0,repo_uniform_t,80,2.0,160,100.0,8000,3000,False,True,False,full_final,0.9,0.660493003988266,0.6026332916259766,0.6625916254520416,0.6000036835670471
C,0,repo_uniform_t,80,4.0,320,1.0,80,6000,False,True,False,full_final,0.1,0.0013659218233078717,0.999920687675476,1.5423337960243224,0.6834155189990997
C,0,repo_uniform_t,80,4.0,320,1.0,80,6000,False,True,False,full_final,0.3,0.019248943030834197,0.9941828310489654,1.4037264013290405,0.6704741132259369
C,0,repo_uniform_t,80,4.0,320,1.0,80,6000,False,True,False,full_final,0.5,0.08775199621915818,0.9663891208171844,1.2543794655799865,0.6526267325878143
C,0,repo_uniform_t,80,4.0,320,1.0,80,6000,False,True,False,full_final,0.7,0.24184000879526138,0.8987709784507751,1.0854112195968628,0.6265472114086151
C,0,repo_uniform_t,80,4.0,320,1.0,80,6000,False,True,False,full_final,0.9,0.5118402087688446,0.7517915713787079,0.8676047694683074,0.5790322709083557
C,0,repo_uniform_t,80,4.0,320,2.0,160,6000,False,True,False,full_final,0.1,0.022888732627034187,0.9953985762596129,0.939469838142395,0.7344517183303833
C,0,repo_uniform_t,80,4.0,320,2.0,160,6000,False,True,False,full_final,0.3,0.08917050793766976,0.9669211626052856,0.9154318082332611,0.7153839993476868
C,0,repo_uniform_t,80,4.0,320,2.0,160,6000,False,True,False,full_final,0.5,0.2051610064506531,0.9143710458278654,0.8821177935600281,0.6909660363197326
C,0,repo_uniform_t,80,4.0,320,2.0,160,6000,False,True,False,full_final,0.7,0.3699376392364502,0.8351386463642122,0.8385174179077148,0.6556496489048004
C,0,repo_uniform_t,80,4.0,320,2.0,160,6000,False,True,False,full_final,0.9,0.5823838913440704,0.7006891906261444,0.7648016941547394,0.5953575241565704
C,0,repo_uniform_t,80,4.0,320,5.0,400,6000,False,True,False,full_final,0.1,0.12783930644392968,0.9533540821075439,0.554698075056076,0.7880710637569428
C,0,repo_uniform_t,80,4.0,320,5.0,400,6000,False,True,False,full_final,0.3,0.22588550955057143,0.9046586453914642,0.5935554265975952,0.7623860108852386
C,0,repo_uniform_t,80,4.0,320,5.0,400,6000,False,True,False,full_final,0.5,0.34191665053367615,0.8477013778686523,0.6301056444644928,0.7300312995910645
C,0,repo_uniform_t,80,4.0,320,5.0,400,6000,False,True,False,full_final,0.7,0.4744186866283417,0.7749880373477935,0.6629101967811585,0.686188884973526
C,0,repo_uniform_t,80,4.0,320,5.0,400,6000,False,True,False,full_final,0.9,0.6190500521659851,0.6633943259716034,0.6895915579795837,0.6129245865345001
C,0,repo_uniform_t,80,4.0,320,10.0,800,6000,False,True,False,full_final,0.1,0.21670349836349487,0.9088972461223602,0.43188068389892575,0.8142547166347504
C,0,repo_uniform_t,80,4.0,320,10.0,800,6000,False,True,False,full_final,0.3,0.304076367020607,0.8652802169322967,0.4832018530368805,0.786549631357193
C,0,repo_uniform_t,80,4.0,320,10.0,800,6000,False,True,False,full_final,0.5,0.39991572737693787,0.8153831398487091,0.5378532767295837,0.7512547731399536
C,0,repo_uniform_t,80,4.0,320,10.0,800,6000,False,True,False,full_final,0.7,0.5066251611709595,0.7515909850597382,0.5960580897331238,0.7033264052867889
C,0,repo_uniform_t,80,4.0,320,10.0,800,6000,False,True,False,full_final,0.9,0.6265778517723084,0.6508694994449615,0.6592211258411408,0.6237390291690826
C,0,repo_uniform_t,80,4.0,320,20.0,1600,6000,False,True,False,full_final,0.1,0.2822074777364731,0.8761328527927398,0.38785415530204775,0.8271458232402802
C,0,repo_uniform_t,80,4.0,320,20.0,1600,6000,False,True,False,full_final,0.3,0.3554806366443634,0.8389723150730133,0.44402059495449064,0.7977922189235688
C,0,repo_uniform_t,80,4.0,320,20.0,1600,6000,False,True,False,full_final,0.5,0.43585181581974025,0.7951881545543671,0.5027310192584992,0.7620613038539886
C,0,repo_uniform_t,80,4.0,320,20.0,1600,6000,False,True,False,full_final,0.7,0.5256459147453307,0.7377918080329896,0.5695668137073517,0.7125651609897613
C,0,repo_uniform_t,80,4.0,320,20.0,1600,6000,False,True,False,full_final,0.9,0.6314319888591767,0.6442459541797638,0.6473238241672515,0.6297674036026001
C,0,repo_uniform_t,80,4.0,320,50.0,4000,6000,False,True,False,full_final,0.1,0.3087195503091812,0.8611370391654969,0.349334841966629,0.8403650987148285
C,0,repo_uniform_t,80,4.0,320,50.0,4000,6000,False,True,False,full_final,0.3,0.3726026092863083,0.8281729202938081,0.40684449911117554,0.8103856527805329
C,0,repo_uniform_t,80,4.0,320,50.0,4000,6000,False,True,False,full_final,0.5,0.44415765943527225,0.7877996923637389,0.46999069571495056,0.7735958182811737
C,0,repo_uniform_t,80,4.0,320,50.0,4000,6000,False,True,False,full_final,0.7,0.5274767366409302,0.7336539657211304,0.544129742383957,0.7228863716125489
C,0,repo_uniform_t,80,4.0,320,50.0,4000,6000,False,True,False,full_final,0.9,0.6300781112098693,0.6430213741874695,0.6361285662651062,0.6370424592494964
B,0,repo_uniform_t,160,2.0,320,0.5,80,6000,False,True,False,full_final,0.1,0.0013935391348786652,0.9999682736396791,1.8896447706222534,0.6091899621486664
B,0,repo_uniform_t,160,2.0,320,0.5,80,6000,False,True,False,full_final,0.3,0.021122386045753956,0.9937150776386261,1.700485646724701,0.5996372067928314
B,0,repo_uniform_t,160,2.0,320,0.5,80,6000,False,True,False,full_final,0.5,0.0943213827908039,0.9638292348384857,1.4889335536956787,0.5874371504783631
B,0,repo_uniform_t,160,2.0,320,0.5,80,6000,False,True,False,full_final,0.7,0.25731744945049284,0.8915397965908051,1.2490199518203735,0.570291942358017
B,0,repo_uniform_t,160,2.0,320,0.5,80,6000,False,True,False,full_final,0.9,0.5268945944309235,0.7421990501880645,0.9345106959342957,0.5422997856140137
B,0,repo_uniform_t,160,2.0,320,1.0,160,6000,False,True,False,full_final,0.1,0.03020983155816793,0.9945902454853058,1.2753665924072266,0.6485710060596466
B,0,repo_uniform_t,160,2.0,320,1.0,160,6000,False,True,False,full_final,0.3,0.11053413495421412,0.9589181244373322,1.195600025653839,0.6344346225261688
B,0,repo_uniform_t,160,2.0,320,1.0,160,6000,False,True,False,full_final,0.5,0.24117811411619186,0.8981955933570862,1.1033072423934938,0.6168768835067749
B,0,repo_uniform_t,160,2.0,320,1.0,160,6000,False,True,False,full_final,0.7,0.4123311847448349,0.8135580515861511,0.9881008780002594,0.5932168853282929
B,0,repo_uniform_t,160,2.0,320,1.0,160,6000,False,True,False,full_final,0.9,0.6060094809532166,0.6829244887828827,0.8235287976264953,0.5553096783161163
B,0,repo_uniform_t,160,2.0,320,2.0,320,6000,False,True,False,full_final,0.1,0.13905905485153197,0.9514627027511595,0.8675107431411743,0.6900418603420257
B,0,repo_uniform_t,160,2.0,320,2.0,320,6000,False,True,False,full_final,0.3,0.2520205354690552,0.8927468860149383,0.8606059443950653,0.6701212024688721
B,0,repo_uniform_t,160,2.0,320,2.0,320,6000,False,True,False,full_final,0.5,0.379817311167717,0.8279715347290038,0.8436779832839966,0.6462651753425598
B,0,repo_uniform_t,160,2.0,320,2.0,320,6000,False,True,False,full_final,0.7,0.5139716339111328,0.7519504535198211,0.8114228308200836,0.6153699922561645
B,0,repo_uniform_t,160,2.0,320,2.0,320,6000,False,True,False,full_final,0.9,0.6426220548152923,0.6443880200386047,0.7494969308376312,0.5675247585773469
B,0,repo_uniform_t,160,2.0,320,5.0,800,6000,False,True,False,full_final,0.1,0.3122262799739838,0.8640636909008026,0.5982954108715057,0.7337393712997436
B,0,repo_uniform_t,160,2.0,320,5.0,800,6000,False,True,False,full_final,0.3,0.39795014083385466,0.817178132534027,0.6308065664768219,0.7084420311450959
B,0,repo_uniform_t,160,2.0,320,5.0,800,6000,False,True,False,full_final,0.5,0.4838284915685654,0.7664736819267273,0.6588075232505798,0.6782830631732941
B,0,repo_uniform_t,160,2.0,320,5.0,800,6000,False,True,False,full_final,0.7,0.5708382070064545,0.7062205731868744,0.681489999294281,0.6399381899833679
B,0,repo_uniform_t,160,2.0,320,5.0,800,6000,False,True,False,full_final,0.9,0.6548597538471221,0.6189474129676819,0.6937942099571228,0.5819885230064392
B,0,repo_uniform_t,160,2.0,320,10.0,1600,6000,False,True,False,full_final,0.1,0.39531436276435855,0.8196349982738496,0.5343489718437194,0.7515041184425354
B,0,repo_uniform_t,160,2.0,320,10.0,1600,6000,False,True,False,full_final,0.3,0.4606078065872192,0.7818327364921569,0.5738739657402039,0.7240972566604614
B,0,repo_uniform_t,160,2.0,320,10.0,1600,6000,False,True,False,full_final,0.5,0.5266098446846008,0.7395110649585724,0.6116958236694336,0.6921125030517579
B,0,repo_uniform_t,160,2.0,320,10.0,1600,6000,False,True,False,full_final,0.7,0.5944392413139343,0.6866571115493776,0.6477175617218017,0.6510489082336426
B,0,repo_uniform_t,160,2.0,320,10.0,1600,6000,False,True,False,full_final,0.9,0.6613213607311249,0.6085691692829132,0.6798771500587464,0.5887102794647217
B,0,repo_uniform_t,160,2.0,320,20.0,3200,6000,False,True,False,full_final,0.1,0.42372496533393866,0.8020128238677978,0.4911974930763245,0.7655451893806458
B,0,repo_uniform_t,160,2.0,320,20.0,3200,6000,False,True,False,full_final,0.3,0.48047486007213586,0.7678206254005431,0.5337462401390076,0.7374750661849976
B,0,repo_uniform_t,160,2.0,320,20.0,3200,6000,False,True,False,full_final,0.5,0.539094729757309,0.7283431248188019,0.5794305908679962,0.7035533738136291
B,0,repo_uniform_t,160,2.0,320,20.0,3200,6000,False,True,False,full_final,0.7,0.5995604300498962,0.6790619275093077,0.6248437321186066,0.6602633559703827
B,0,repo_uniform_t,160,2.0,320,20.0,3200,6000,False,True,False,full_final,0.9,0.6616349457740783,0.6047264399051666,0.6706209075450897,0.5941969323158264
B,0,repo_uniform_t,160,2.0,320,50.0,8000,6000,False,True,False,full_final,0.1,0.4410440173768998,0.7900659587669372,0.46618384778499605,0.7754621863365173
B,0,repo_uniform_t,160,2.0,320,50.0,8000,6000,False,True,False,full_final,0.3,0.4930565113401413,0.758127504787445,0.5140132403373718,0.7453110122680664
